GEOID,LAND_AREA,Tot_Population_ACS_17_21,pct_Males_ACS_17_21,Median_Age_ACS_17_21,pct_Pop_5_17_ACS_17_21,pct_Pop_18_24_ACS_17_21,pct_Pop_25_44_ACS_17_21,pct_Pop_45_64_ACS_17_21,pct_Pop_65plus_ACS_17_21,pct_Hispanic_ACS_17_21,pct_NH_White_alone_ACS_17_21,pct_NH_Blk_alone_ACS_17_21,pct_NH_AIAN_alone_ACS_17_21,pct_NH_Asian_alone_ACS_17_21,pct_NH_NHOPI_alone_ACS_17_21,pct_NH_SOR_alone_ACS_17_21,pct_NH_Multi_Races_ACS_17_21,pct_Othr_Lang_ACS_17_21,pct_Not_HS_Grad_ACS_17_21,pct_College_ACS_17_21,pct_Prs_Blw_Pov_Lev_ACS_17_21,pct_Rel_Family_HHD_ACS_17_21,pct_MrdCple_HHD_ACS_17_21,pct_Not_MrdCple_HHD_ACS_17_21,pct_HHD_PPL_Und_18_ACS_17_21,avg_Tot_Prns_in_HHD_ACS_17_21,pct_Rel_Under_6_ACS_17_21,pct_PUB_ASST_INC_ACS_17_21,Med_HHD_Inc_BG_ACS_17_21,Aggregate_HH_INC_ACS_17_21,avg_Agg_HH_INC_ACS_17_21,Tot_Housing_Units_ACS_17_21,Tot_Occp_Units_ACS_17_21,pct_Tot_Occp_Units_ACS_17_21,Occp_U_NO_PH_SRVC_ACS_17_21,pct_Occp_U_NO_PH_SRVC_ACS_17_21,phone_response_rate_cen_2020,pct_URBAN_POP_CEN_2020,pct_RURAL_POP_CEN_2020
5.3002E+11,616.609,694,56.48,35.6,28.39,7.06,21.18,24.93,15.13,1.59,90.49,1.59,1.59,0,0,0,4.76,11.18,4,28.47,7.78,87.17,77.43,22.57,31.42,3.07,9.64,1.33,72500,18870200,83496,231,226,0.978354978,0,0,1.3,0,100
5.3002E+11,3.805,1352,52.22,47.2,21.38,3.4,19.6,29.96,21.75,11.17,82.25,3.03,0.22,0.52,0,0,2.81,1.92,2.18,21.27,7.91,48.15,36.74,63.26,22.99,2.19,14.63,3.36,57328,42032700,70525,687,596,0.867540029,42,0.061135371,0.8,0,100
5.3002E+11,3.236,531,50.85,37.8,14.88,16.2,26.37,21.28,19.02,11.3,80.79,1.69,0,1.51,1.51,0,3.2,7.13,18.08,12.15,17.14,37.16,26.15,73.85,14.68,2.27,14.81,8.72,30000,9772100,44826,273,218,0.798534799,3,0.010989011,1.9,0,100
5.3002E+11,135.923,645,51.32,45.4,11.63,12.09,18.76,38.76,11.47,2.64,86.51,0,0,0,0,0,10.85,0,8.31,18.2,19.53,69.02,54.51,45.49,18.04,2.53,18.18,7.06,64018,15183400,59543,318,255,0.801886792,0,0,1.2,0,100
5.3002E+11,461.933,774,53.1,28.5,27.65,16.15,32.3,12.14,7.49,66.41,33.59,0,0,0,0,0,0,54.25,40.3,16.67,9.43,81.41,63.46,36.54,44.87,4.96,22.05,8.33,65132,11255300,72149,200,156,0.78,6,0.03,1.8,0,100
5.3002E+11,417.343,375,53.87,48.8,15.73,12.8,13.6,27.47,26.93,2.93,92.8,0,2.4,0.8,0,0,1.07,1.1,10.98,26.27,18.4,73.86,66.67,33.33,28.1,2.45,14.16,1.96,56750,9794800,64018,269,153,0.568773234,5,0.018587361,0.7,0,100
5.3002E+11,166.783,1790,49.44,31,28.55,9.78,18.99,21.23,14.02,71.12,28.83,0,0,0,0,0,0.06,65.96,49.12,9.17,11.01,77.5,63.44,36.56,37.43,3.1,30.84,0,48083,36126900,63492,578,569,0.984429066,38,0.065743945,0.9,0,100
5.3002E+11,67.404,2738,53.51,26.5,28.27,13.48,23.41,16.25,11.29,95.14,4.35,0,0.51,0,0,0,0,85.07,56.27,6.52,36.6,83.93,67.99,32.01,59.23,3.64,23.73,0,47663,41834500,55557,753,753,1,10,0.013280212,0.8,51.79,48.21
5.3002E+11,4.583,1813,55.93,29.1,30.45,6.67,24.54,19.69,11.64,76.12,23.88,0,0,0,0,0,0,61.45,35.04,17.57,33.2,93.62,68.09,31.91,40.64,3.86,26.59,2.77,,38222000,81323,470,470,1,0,0,1.2,45.94,54.06
5.3002E+11,41.213,742,32.88,34.3,28.44,4.72,18.87,31.54,7.95,62.8,26.42,0,0,0,10.78,0,0,50.22,25.87,6.47,8.47,93.87,75.47,24.53,73.11,3.38,14.07,0,54029,12234400,57709,238,212,0.890756303,0,0,0.8,0,100
5.3002E+11,0.323,1008,45.54,28.6,24.9,8.73,23.41,20.44,13.19,61.31,30.06,0,0.99,0.89,0,0,6.75,47.16,34.26,23.83,7.54,77.71,41.14,58.86,49.14,2.75,26.1,0,46042,23527900,67223,383,350,0.91383812,26,0.067885117,1.2,100,0
5.3002E+11,1.051,2092,42.59,21.5,32.12,3.35,24.19,16.06,8.22,75.62,19.65,0.33,0.19,4.21,0,0,0,38.84,23.96,19.63,13.28,69.36,45.32,54.68,53.76,3.77,42.59,2.2,75750,53013500,97272,545,545,1,2,0.003669725,0.9,94.46,5.54
5.3002E+11,3.452,2749,52.56,25.3,28.41,12.11,26.56,16.04,8,63.62,36.19,0.18,0,0,0,0,0,54.73,20.35,12.15,14.2,87.12,57.03,42.97,52.83,3.6,28.81,9.99,77279,64889100,85268,761,761,1,0,0,1.2,98.08,1.92
5.3002E+11,0.357,2486,53.18,25.1,21.48,14.44,28.56,14.08,7.6,92.32,6.76,0,0,0.93,0,0,0,80.11,43.15,3.52,39.3,80.84,41.71,58.29,46.06,3.38,33.78,1.77,44085,36820100,50027,761,736,0.967148489,0,0,2.3,100,0
5.3002E+11,0.973,564,68.44,12.5,30.67,10.46,24.65,8.51,0,72.34,27.66,0,0,0,0,0,0,68.5,90.37,0,21.45,81.01,22.78,77.22,81.01,3.57,92.97,25.32,,5955700,37694,229,158,0.689956332,0,0,1.4,96.64,3.36
